title,code,location,price,characteristics,img
Arriendo de Apartamento en Medellín,AA-74245," Los balsos, Medellín",$6.500.000,151 Metros|4 Baños|3 Alcobas,https://s3.amazonaws.com/com.albertoalvarez.fullpublic/propertyPictures//property-AA-74245-1.jpg
Arriendo de Apartamento en Medellín,AA-74243," Rosales, Medellín",$3.000.000,92 Metros|2 Baños|3 Alcobas,https://s3.amazonaws.com/com.albertoalvarez.fullpublic/propertyPictures//property-AA-74243-1.jpg
Arriendo de Apartamento en Medellín,AA-63102," San joaquín, Medellín",$2.000.000,65 Metros|3 Baños|3 Alcobas,https://s3.amazonaws.com/com.albertoalvarez.fullpublic/propertyPictures//property-AA-63102-1.jpg
Arriendo de Apartamento en Medellín,AA-74236," Altos del poblado cola del zorro, Medellín",$18.000.000,284 Metros|5 Baños|3 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
Arriendo de Apartamento en Medellín,AA-72736," La loma de los bernal, Medellín",$2.400.000,67 Metros|2 Baños|3 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
Arriendo de Apartamento en Medellín,AA-74227," Altos del poblado cola del zorro, Medellín",$4.700.000,86 Metros|2 Baños|2 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
Arriendo de Apartamento en Medellín,AA-74222," La loma de los bernal, Medellín",$2.500.000,85 Metros|2 Baños|3 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
Arriendo de Apartamento en Medellín,AA-74220," Laureles, Medellín",$7.000.000,220 Metros|3 Baños|4 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
Arriendo de Apartamento en Medellín,AA-64498," Patio bonito, Medellín",$7.000.000,170 Metros|2 Baños|3 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
Arriendo de Apartamento en Medellín,AA-74217," Laureles, Medellín",$4.500.000,116 Metros|2 Baños|3 Alcobas,https://s3.amazonaws.com/com.albertoalvarez.fullpublic/propertyPictures//property-AA-74217-1.jpg
Arriendo de Apartamento en Medellín,AA-74199," Provenza, Medellín",$6.000.000,175 Metros|3 Baños|3 Alcobas,https://s3.amazonaws.com/com.albertoalvarez.fullpublic/propertyPictures//property-AA-74199-1.jpg
Arriendo de Apartamento en Medellín,AA-74192," Castropol, Medellín",$4.500.000,85 Metros|3 Baños|2 Alcobas,https://s3.amazonaws.com/com.albertoalvarez.fullpublic/propertyPictures//property-AA-74192-1.jpg
Arriendo de Apartamento en Medellín,AA-74186," El poblado, Medellín",$8.500.000,162 Metros|3 Baños|2 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
Arriendo de Apartamento en Medellín,AA-67953," El tesoro, Medellín",$3.800.000,160 Metros|3 Baños|4 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
Arriendo de Apartamento en Medellín,AA-74175," Loma de los parra, Medellín",$8.000.000,206 Metros|4 Baños|2 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
Arriendo de Apartamento en Medellín,AA-74174," Boston, Medellín",$1.800.000,75 Metros|2 Baños|3 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
Arriendo de Apartamento en Medellín,AA-72142," Castropol, Medellín",$4.800.000,101 Metros|2 Baños|3 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
